00ZCA.mp4,A man is trying to juggle a broom while a woman is talking in the background.
10INO.mp4,A young boy is sitting at a table playing with a cup of tea.
1R9XW.mp4,"A man and a woman are playing a game of rock, paper, scissors."
2544C.mp4,A man and a woman are having a pillow fight in a room.
4VYE5.mp4,A young man is sitting in a chair and reading a book.
673VM.mp4,A man is standing in a room and is using a sewing machine.
6JB5R.mp4,A young boy is sitting at a computer and trying to learn how to operate it.
J9BXT.mp4,A man is demonstrating how to clean a piece of clothing.
PM1VD.mp4,A man is sitting on a couch and is trying to put on a frisbee.
X2LBW.mp4,A man and a woman are having a conversation in a hotel room.
